url,size,# of outlinks,content type
http://www.latimes.com/opinion/editorials/la-ed-parker-center-little-tokyo-20170217-story.html,234809,69,text/html
http://www.latimes.com/local/lanow/la-me-ln-8150-sunset-lawsuit-20170216-story.html,242188,74,text/html
http://www.latimes.com/local/lanow/la-me-ln-robert-durst-secret-witness-20170217-story.html,255777,80,text/html
http://www.latimes.com/sports/more/la-sp-pac-12-southland-roundup-20170217-story.html,225393,67,text/html
http://www.latimes.com/food/la-fo-jam-red-bread-20170130-story.html,222880,57,text/html
http://www.latimes.com/latest/,250975,133,text/html
http://www.latimes.com/entertainment/tv/la-et-st-0218-tvhighlights-20170218-story.html,236012,70,text/html
http://www.latimes.com/entertainment/la-ca-mn-oscars-degrees-20170207-story.html,238773,69,text/html
http://www.latimes.com/science/,383511,165,text/html
http://www.latimes.com/travel/92553480-132.html,161447,45,text/html
http://www.latimes.com/health/la-he-conscious-life-expo-20170202-story.html,220441,61,text/html
http://www.latimes.com/fashion/la-ig-unforgettable-evening-20170218-story.html,242146,65,text/html
http://www.latimes.com/sports/91227630-132.html,160999,44,text/html
http://www.latimes.com/nation/la-na-colorado-river-20170217-story.html,242008,74,text/html
http://www.latimes.com/local/lanow/la-me-ln-fish-fraud-settlement-20170215-story.html,231916,83,text/html
http://www.latimes.com/sports/highschool/varsity-times/la-sp-basketball-open-roundup-20170217-story.html,230167,67,text/html
http://www.latimes.com/sports/usc/,381743,163,text/html
http://www.latimes.com/style/,264047,112,text/html
http://www.latimes.com/entertainment/movies/la-ca-la-la-land-real-20170218-htmlstory.html,195136,55,text/html
http://www.latimes.com/travel/lasvegas/,256757,84,text/html
http://www.latimes.com/world/middleeast/,333482,138,text/html
http://www.latimes.com/opinion/op-ed/,252852,83,text/html
http://www.latimes.com/politics/la-na-pol-trump-epa-pruitt-20180217-story.html,229402,85,text/html
http://www.latimes.com/hoyla-bei-walkingedead-story.html,167107,47,text/html
http://www.latimes.com/local/lanow/la-me-maxwell-flooding-20170218-htmlstory.html,142839,41,text/html
http://www.latimes.com/entertainment/,327238,148,text/html
http://www.latimes.com/local/lanow/la-me-storm-los-angeles-20170217-story.html,296200,90,text/html
http://www.latimes.com/entertainment/arts/,298116,107,text/html
http://www.latimes.com/newsletters/la-me-ln-essential-california-20170218-story.html,188126,71,text/html
http://www.latimes.com/local/lanow/la-me-ln-la-rain-cleanup-20170218-story.html,278186,82,text/html
http://www.latimes.com/la-et-jc-books-20170217-story.html,230397,61,text/html
http://www.latimes.com/home/la-he-hottest-trends-from-ces-20170202-story.html,249071,70,text/html
http://www.latimes.com/world/europe/,334892,140,text/html
http://www.latimes.com/world/mexico-americas/la-fg-el-salvador-refugees-20170216-htmlstory.html,191587,55,text/html
http://www.latimes.com/business/autos/la-fi-hy-tesla-uaw-20170214-story.html,237828,74,text/html
http://www.latimes.com/travel/deals/la-tr-las-vegas-resort-fees-increase-20170216-story.html,233588,80,text/html
http://www.latimes.com/business/technology/,302501,133,text/html
http://www.latimes.com/opinion/op-ed/la-oe-boot-gop-must-investigate-kremlingate-20170214-story.html,239180,79,text/html
http://www.latimes.com/entertainment/envelope/92423385-132.html,160677,43,text/html
http://www.latimes.com/local/california/la-me-lopez-ainsworth-0219-story.html,238006,71,text/html
http://www.latimes.com/sports/lakers/la-sp-nba-all-stars-notes-20170217-story.html,184739,70,text/html
http://www.latimes.com/science/sciencenow/la-sci-sn-robot-bees-20170209-story.html,236005,80,text/html
http://www.latimes.com/local/weather/?regionalZipCode=90210,230263,82,text/html
http://www.latimes.com/local/moments/la-me-scm-raindrops-palm-trees-20160106-story.html,174575,58,text/html
http://www.latimes.com/local/california/la-me-oroville-floods-norcal-20170216-story.html,334222,86,text/html
http://www.latimes.com/local/weather/?regionalZipCode=91109,228756,82,text/html
http://www.latimes.com/local/moments/la-me-scm-under-the-red-20160121-story.html,174071,59,text/html
http://www.latimes.com/local/weather/?regionalZipCode=90814,230003,82,text/html
http://www.latimes.com/local/moments/la-me-scm-urban-adventures-20160104-story.html,173285,57,text/html
http://www.latimes.com/local/moments/la-me-scm-century-city-fountain-20160119-story.html,172957,57,text/html
http://www.latimes.com/local/weather/,230534,82,text/html
http://www.latimes.com/local/lanow/la-me-storm-prep-20170216-htmlstory.html,204143,51,text/html
http://www.latimes.com/local/moments/,249671,52,text/html
http://www.latimes.com/local/moments/la-me-scm-home-away-from-home-20160107-story.html,188521,64,text/html
http://www.latimes.com/local/moments/la-me-scm-ff-a-curious-look-20160122-story.html,174147,57,text/html
http://www.latimes.com/local/california/la-me-ln-letter-from-oroville-20170216-htmlstory.html,139794,51,text/html
http://www.latimes.com/local/lanow/la-me-socal-storms-20170215-story.html,241655,85,text/html
http://www.latimes.com/local/weather/?regionalZipCode=92805,232771,82,text/html
http://www.latimes.com/local/moments/la-me-scm-valley-glow-20160208-story.html,171169,53,text/html
http://www.latimes.com/local/moments/la-me-scm-the-lone-rider-20160127-story.html,180522,62,text/html
http://www.latimes.com/local/lanow/la-me-ln-oroville-storms-20170217-story.html,246754,84,text/html
http://www.latimes.com/local/weather/?regionalZipCode=92132,230944,82,text/html
http://www.latimes.com/local/weather/?regionalZipCode=93101,233611,82,text/html
http://www.latimes.com/local/moments/la-me-scm-conductor-union-station-20160113-story.html,180970,62,text/html
http://www.latimes.com/local/weather/?regionalZipCode=91764,230943,82,text/html
http://www.latimes.com/local/weather/?regionalZipCode=91401,232234,82,text/html
http://www.latimes.com/local/moments/la-me-scm-above-the-freeway-20160125-story.html,171370,54,text/html
http://www.latimes.com/local/moments/la-me-scm-the-sight-of-a-century-20160203-story.html,175030,57,text/html
http://www.latimes.com/local/weather/?regionalZipCode=92262,231101,82,text/html
http://www.latimes.com/local/drought/,238198,96,text/html
http://www.latimes.com/local/weather/?regionalZipCode=92663,235366,82,text/html
http://www.latimes.com/local/weather/?regionalZipCode=92501,231597,82,text/html
http://www.latimes.com/local/lanow/la-me-ln-la-county-dams-oroville-20170215-story.html,269007,81,text/html
http://www.latimes.com/local/weather/?regionalZipCode=90405,230262,82,text/html
http://www.latimes.com/local/moments/la-me-scm-flashback-friday-santacon-at-barnsdall-art-park-20151224-story.html,174536,57,text/html
http://www.latimes.com/local/moments/la-me-scm-welcome-to-la-20160201-story.html,173680,58,text/html
http://www.latimes.com/local/weather/?regionalZipCode=93001,231606,82,text/html
http://www.latimes.com/local/moments/la-me-scm-ff-it-even-looks-like-a-smile-20160107-story.html,173989,56,text/html
http://www.latimes.com/newsletters/la-me-ln-essential-california-20170216-story.html,239955,101,text/html
http://www.latimes.com/local/moments/la-me-scm-sole-mates-20151224-story.html,180196,59,text/html
http://www.latimes.com/local/lanow/la-me-uc-trump-speech-20170202-story.html,258602,82,text/html
http://www.latimes.com/topic/education/05000000-topic.html,192972,110,text/html
http://www.latimes.com/la-bio-deborah-netburn-staff.html,125105,56,text/html
http://www.latimes.com/topic/education/colleges-universities/stanford-university-OREDU0000292-topic.html,186588,110,text/html
http://www.latimes.com/projects/la-sci-cooling-los-angeles/,843853,36,text/html
http://www.latimes.com/topic/education/colleges-universities/05007000-topic.html,195330,117,text/html
"http://www.latimes.com/science/sciencenow/la-sci-sn-mit-president-qa-20170210-story,amp.html",60938,31,text/html
http://www.latimes.com/topic/education/colleges-universities/uc-berkeley-OREDU00000197-topic.html,185943,106,text/html
http://www.latimes.com/topic/sports/ice-hockey/colton-sceviour-PESPT0014719-topic.html,108242,58,text/html
http://www.latimes.com/topic/sports/ice-hockey/jaromir-jagr-PESPT008444-topic.html,176216,86,text/html
http://www.latimes.com/topic/sports/ice-hockey/15031000-topic.html,179976,99,text/html
http://www.latimes.com/topic/sports/ice-hockey/honda-center-PLREC000182-topic.html,186557,105,text/html
http://www.latimes.com/sports/kings/la-sp-ducks-kings-minors-20170217-story.html,186636,61,text/html
http://www.latimes.com/topic/sports/ice-hockey/minnesota-wild-ORSPT000077-topic.html,185362,105,text/html
http://www.latimes.com/topic/sports/ice-hockey/randy-carlyle-PESPTF00585-topic.html,171576,82,text/html
http://www.latimes.com/topic/sports/ice-hockey/nhl-15031001-topic.html,186229,104,text/html
http://www.latimes.com/topic/sports/ice-hockey/aaron-ekblad-PESPTF00033-topic.html,101438,56,text/html
http://www.latimes.com/topic/sports/ice-hockey/jonathan-bernier-PESPT0000011212-topic.html,180432,90,text/html
http://www.latimes.com/topic/sports/ice-hockey/antoine-vermette-PESPT0000010969-topic.html,179888,89,text/html
"http://www.latimes.com/sports/ducks/la-sp-ducks-panthers-20170217-story,amp.html",53140,32,text/html
http://www.latimes.com/topic/sports/football/atlanta-falcons-ORSPT000032-topic.html,198626,120,text/html
http://www.latimes.com/topic/sports/ice-hockey/james-reimer-PESPT0000011151-topic.html,137724,74,text/html
http://www.latimes.com/sports/dodgers/la-sp-dodgers-adrian-gonzalez-20170217-story.html,188238,72,text/html
http://www.latimes.com/topic/sports/ice-hockey/gary-bettman-PEBSL000953-topic.html,180404,92,text/html
http://www.latimes.com/topic/sports/ice-hockey/sami-vatanen-PESPT0016643-topic.html,181355,97,text/html
http://www.latimes.com/topic/sports/ice-hockey/anaheim-ducks-ORSPT000063-topic.html,199514,121,text/html
http://www.latimes.com/topic/sports/football/super-bowl-EVSPR000004-topic.html,198472,122,text/html
http://www.latimes.com/topic/sports/ice-hockey/andrew-cogliano-PESPT0000010959-topic.html,181229,96,text/html
http://www.latimes.com/topic/sports/ice-hockey/cam-fowler-PESPT000009029-topic.html,182534,101,text/html
http://www.latimes.com/topic/sports/football/new-england-patriots-ORSPT000192-topic.html,195022,114,text/html
http://www.latimes.com/topic/education/colleges-universities/university-of-wisconsin-madison-OREDU000051-topic.html,170426,91,text/html
http://www.latimes.com/topic/science/medical-research/07005000-topic.html,186704,108,text/html
"http://www.latimes.com/science/sciencenow/la-sci-sn-dna-gene-editing-20170214-story,amp.html",55045,28,text/html
http://www.latimes.com/topic/health/diseases-illnesses/lung-cancer-HEDAI0000027-topic.html,185379,115,text/html
http://www.latimes.com/la-bio-melissa-healy-staff.html,124903,54,text/html
http://www.latimes.com/science/sciencenow/la-sci-sn-crispr-cas-9-20151218-story.html,188668,71,text/html
"http://www.latimes.com/sports/ducks/la-sp-ducks-panthers-takeaways-20170218-story,amp.html",48223,22,text/html
http://www.latimes.com/travel/deals/la-tr-weekend-escape-lompoc-20170215-pg-photogallery.html,186827,43,text/html
http://www.latimes.com/travel/deals/la-tr-your-scene-readers-travel-photos-2013-20130517-photogallery.html,187571,42,text/html
http://www.latimes.com/travel/la-tr-d-alamo-postcard-main-20141109-story.html,281678,76,text/html
